Catalogusnummer,Oudnummer
"23433","12.29-5.14"
"23429","12.30-5.14"
"23431","12.31-5.14"
"23427","12.32-5.14"
"23420","12.33-7.5"
"23421","12.34-7.5"
"23419","12.35-7.5"
"23507","12.4-5.6"
"23511","12.5-5.5"
"23506","12.5-5.6"
"23503","12.8-5.6"
"23500","12.9-5.6"
"108751","120"
"108752","120  NEG. 03128"
"108754","121"
"108753","121  NEG. 03129"
"108756","122"
"108755","122  NEG. 03232"
"601973","122142"
"601971","122838"
"161046","1229"
"108757","123"
"108758","123  NEG. 03231"
"129832","12387"
"601999","123938"
"601958","123939"
"108759","124  NEG. 03130"
"108761","124  NEG. 03130"
"95256","124211"
"109200","125"
"109199","125"
"170295","125"
"108760","126"
"109201","127"
"108762","128"
"108763","128"
"109202","128"
"6060","128.III.81"
"109203","129"
"161197","129 956"
"221966","129371"
"221964","129372"
"221965","129373"
"221963","129374"
"98374","129379"
"98375","129380"
"98298","129388"
"98302","129389"
"98296","129390"
"98301","129391"
"98299","129393"
"98303","129394"
"98297","129395"
"98304","129396"
"98300","129397"
"98306","129398"
"98307","129399"
"98346","129400"
"98347","129401"
"98348","129402"
"98349","129403"
"98352","129404"
"98350","129405"
"98353","129406"
"98351","129407"
"98354","129408"
"98355","129409"
"98790","129692"
"108701","13.  07-5 13"
"23418","13.0-7.5"
"23424","13.10-7.5"
"23423","13.12-7.5"
"23402","13.13-7.5"
"23422","13.14-7.5"
"23400","13.17-7.5"
"23399","13.18-7.5"
"23401","13.19-7.5"
"23412","13.2-7.5"
"23398","13.20-7.5"
"23393","13.21-7.4"
"23392","13.22-7.4"
"23395","13.23-7.4"
"24420","13.25-8.9"
"24423","13.26-8.9"
"23396","13.27-7.4"
"24422","13.27-8.9"
"24419","13.28-8.9"
"23439","13.29-5.12"
"23436","13.30-5.12"
"23440","13.31-5.12"
"23435","13.32-5.12"
"23438","13.33-5.12"
"23335","13.34-7.1"
"24390","13.35-8.10"
"24380","13.36-8.9"
"23410","13.4-7.5"
"23425","13.5-7.5"
"23409","13.6-7.5"
"23411","13.6-7.5"
"23408","13.7-7.5"
"23403","13.8-7.5"
"23414","13.9-7.5"
"109204","130"
"164431","13030"
"161216","13038"
"109205","131"
"400294","1310"
"400295","1310"
"109206","132"
"108765","132"
"109207","133"
"108764","134"
"99276","1341"
"109208","135"
"829051","135."
"109209","136"
"829052","136."
"108766","138"
"24409","14-16-8.12"
"24411","14-18-8.12"
"165191","14.09"
"24378","14.1-8.9"
"24389","14.11-8.9"
"24370","14.12.8.8"
"24398","14.13-8.11"
"24400","14.14-8.11"
"24399","14.15-8.11"
"24412","14.17-8.12"
"24401","14.19-8.11"
"24382","14.2-8.9"
"24402","14.20-8.11"
"24348","14.24-8.1"
"24347","14.25-8.1"
"24097","14.26-1.6"
"24108","14.27-6.8"
"24350","14.28-8.2"
"24110","14.29-6.8"
"24379","14.3-8.9"
"24351","14.30-8.2"
"24352","14.31-8.2"
"24199","14.32-6.4"
"24405","14.34-8.11"
"24408","14.35-8.11"
"24366","14.36-8.6"
"24376","14.4-8.9"
"24381","14.5-8.9"
"24386","14.6-8.9"
"24418","14.7-8.9"
"24417","14.9-8.9"
"164747","14004"
"164748","14005"
"164749","14006"
"162013","14007"
"164746","14008"
"170296","14054"
"164666","14096"
"109210","142"
"108767","143"
"160850","143 615"
"160852","143 621"
"160853","143 624"
"160854","143 637"
"160855","143 638"
"160856","143 639"
"160857","143 639"
"108768","145   NEG. 03236"
"108769","146   NEG. 03233"
"170288","148 406"
"161350","148 904"
"161199","148003"
"161200","148008"
"161198","148009"
"830517","15-10"
"830518","15-11"
"830519","15-12"
"830520","15-13"
"830521","15-14"
"830522","15-15"
"830523","15-16"
"830524","15-17"
"830525","15-18"
"830526","15-19"
"830527","15-20"
"830528","15-21"
"830529","15-22"
"830530","15-23"
"830531","15-24"
"830532","15-25"
"830533","15-26"
"830534","15-27"
"830535","15-28"
"830536","15-29"
"830537","15-30"
"830538","15-33"
"830539","15-35"
"830540","15-36"
"830541","15-40"
"830542","15-41"
"830543","15-42"
"830544","15-44"
"830545","15-45"
"830546","15-49"
"830512","15-5"
"830547","15-50"
"830513","15-6"
"830514","15-7"
"830515","15-8"
"830516","15-9"
"829029","15."
"829042","15."
"109194","15.  07-3  9"
"24428","15.0-8.6"
"24367","15.1-8.6"
"24363","15.10-8.5"
"24353","15.12-8.3"
"24413","15.13-8.3"
"24354","15.14-8.3"
"24359","15.15-8.4"
"24426","15.16-8.4"
"24369","15.17-8.7"
"24205","15.18-6.4"
"24238","15.19-6.1"
"24415","15.2-8.6"
"24206","15.20-6.4"
"24237","15.21-6.1"
"24234","15.22-6.2"
"24233","15.23-6.2"
"24232","15.24-6.2"
"24230","15.26-6.2"
"24231","15.26-6.2"
"24229","15.27-6.2"
"24227","15.28-6.2"
"24239","15.29-6.2"
"24368","15.3-8.6"
"24226","15.30-6.2"
"24228","15.31-6.2"
"24225","15.32-6.2"
"24224","15.33-6.2"
"24214","15.34-6.3"
"24213","15.35-6.3"
"24212","15.36-6.3"
"24210","15.37-6.3"
"24362","15.4-8.5"
"24361","15.5-8.5"
"24360","15.6-8.5"
"24365","15.7-8.5"
"24364","15.8-8.5"
"108773","150"
"108771","150   NEG. 01313"
"108770","150   NEG. 01313"
"161202","150367"
"161203","150367"
"161201","150368"
"164642","150642"
"163686","151091"
"163357","151170"
"163291","151236"
"163250","151286"
"163255","151290"
"163289","151297"
"163252","151307"
"163358","151312"
"163359","151317"
"163284","151350"
"163282","151351"
"163283","151384"
"163288","151388"
"163286","151392"
"163245","151395"
"163281","151398"
"163287","151407"
"163550","151432"
"163556","151436"
"163552","151438"
"163553","151439"
"163554","151440"
"163557","151441"
"163555","151442"
"163558","151446"
"163559","151447"
"163560","151450"
"163685","151453"
"163545","151470"
"163546","151471"
"163547","151473"
"163548","151474"
"163549","151476"
"163348","151488"
"163317","151589"
"163256","151629"
"163257","151630"
"163297","151631"
"163299","151632"
"163340","151633"
"163258","151635"
"163249","151651"
"163248","151652"
"108776","152"
"164645","152024"
"163293","152033"
"163247","152085"
"163292","152208"
"163330","152274"
"163333","152275"
"163331","152276"
"108777","153"
"108772","153   NEG. 01316"
"108774","153   NEG. 01316"
"108778","154"
"108775","154   NEG. 01417"
"163335","154072"
"164639","154576"
"163242","154671"
"163324","154928"
"108780","155  NEG. 01418"
"163329","155184"
"163328","155185"
"163260","155242"
"163244","155244"
"163694","155248"
"162072","155291"
"99280","1556"
"108779","156  NEG. 01419"
"108792","157"
"108781","157  NEG. 01522"
"400296","1570"
"400297","1571"
"800274","1572"
"400298","1572"
"108782","158  NEG. 01523"
"400300","1588"
"108793","159"
"108783","159  NEG. 01524"
"163253","159924"
"163259","159926"
"163246","159928"
"830576","16-100"
"830548","16-51"
"830549","16-53"
"830550","16-54"
"830551","16-55"
"830552","16-58"
"830553","16-60"
"830554","16-62"
"830555","16-63"
"830556","16-64"
"830557","16-65"
"830558","16-68"
"830559","16-69"
"830560","16-73"
"830561","16-78"
"830562","16-79"
"830563","16-81"
"830564","16-82"
"830565","16-83"
"830566","16-85"
"830567","16-88"
"830568","16-89"
"830569","16-91"
"830570","16-92"
"830571","16-93"
"830572","16-94"
"830573","16-96"
"830574","16-97"
"830575","16-99"
"829043","16."
"108679","16.   07-2-7"
"24456","16.0-9.6"
"24442","16.0-9.6"
"24032","16.1-5.2"
"24443","16.1-9.6"
"24150","16.11-6.7"
"24149","16.12-6.7"
"24152","16.13-6.7"
"24151","16.14-6.7"
"24154","16.15-6.7"
"24153","16.16-6.7"
"24140","16.18-6.7"
"24141","16.19-6.7"
"24160","16.2-6.7"
"24142","16.20-6.7"
"24138","16.21-6.7"
"24139","16.23-6.7"
"24143","16.24-6.7"
"24136","16.25-6.7"
"24135","16.26-6.7"
"24146","16.27-6.7"
"24109","16.28-6.8"
"24159","16.3-6.7"
"24441","16.3-9.6"
"24182","16.32-6.5"
"24180","16.33-6.5"
"24181","16.34-6.5"
"24179","16.35-6.5"
"24156","16.4-6.7"
"24161","16.5-6.7"
"24158","16.8-6.7"
"24257","16.9-6.7"
"108784","160  NEG. 01526"
"163254","160455"
"163251","160459"
"163243","160463"
"163290","160465"
"163314","160469"
"163344","160474"
"164233","160552"
"108794","161"
"108785","161  NEG. 01525"
"108795","162"
"108786","162  NEG. 01527"
"400301","1620"
"108787","163  NEG. 01628"
"163100","1632"
"163101","1633"
"108788","165  NEG. 01630"
"108796","166"
"108789","166  NEG. 01631"
"108790","167  NEG. 01632"
"108791","168  NEG. 01633"
"162085","168 281"
"161360","16818"
"161361","16820"
"108797","169"
"162116","169 05"
"162087","169 32"
"162089","169 33"
"162088","169 33"
"841022","17-1/2"
"830577","17-101"
"830578","17-104"
"830579","17-105"
"830580","17-108"
"841026","17-11/12"
"830581","17-110"
"830582","17-111"
"830583","17-112"
"830584","17-113"
"830585","17-116"
"830586","17-117"
"830587","17-120"
"830588","17-121"
"830589","17-132"
"830590","17-134"
"830591","17-136"
"830592","17-138"
"830593","17-139"
"830594","17-141"
"830595","17-142"
"830596","17-143"
"830597","17-145"
"830598","17-146"
"830599","17-149"
"841027","17-15/16"
"841028","17-30"
"841029","17-38"
"841030","17-40"
"841031","17-42"
"841023","17-5/6"
"841032","17-54"
"841033","17-56"
"841034","17-64"
"841024","17-7/8"
"841035","17-70"
"841025","17-9/10"
"24261","17.0-6.5"
"501052","17.01.04"
"501073","17.01.09"
"501048","17.01.59"
"24176","17.1-6.5"
"24163","17.14-6.6"
"24215","17.15-6.3"
"24162","17.16-6.6"
"24164","17.17-6.6"
"24211","17.18-6.3"
"24208","17.19-6.3"
"24202","17.2-6.4"
"24209","17.20-6.3"
"24173","17.23-6.5"
"24171","17.25-6.5"
"24172","17.26-6.5"
"24170","17.27-6.5"
"24203","17.3-6.4"
"24200","17.4-6.4"
"24201","17.5-6.4"
"24197","17.6-6.4"
"24196","17.7-6.4"
"24195","17.7-6.4"
"24220","17.8-6.2"
"24219","17.9-6.2"
"108798","170"
"108799","171  NEG. 01736"
"162107","171 14"
"162086","171 15"
"161450","171 425"
"163172","171 426"
"108800","172  NEG. 02111 A"
"162093","172 01"
"162110","172 03"
"162094","172 04"
"162101","172 06"
"162104","172 33"
"162108","172 35"
"162106","172 39"
"162109","172 42"
"108801","173  NEG. 02112 A"
"161047","1742"
"108804","175"
"108802","175  NEG. 02114 A"
"108803","176"
"108805","176  NEG. 02115 A"
"108806","177  NEG. 02116 A"
"108809","178"
"108807","178  NEG. 02117 A"
"162551","1786"
"162550","1787"
"108810","179"
"161187","179 061"
"108808","179 NEG. 02118 A"
"841036","18-1"
"841037","18-1"
"841039","18-11"
"841040","18-13/14"
"841041","18-15/16"
"830600","18-153"
"830601","18-154"
"830602","18-155"
"830603","18-158"
"830604","18-161"
"830605","18-164"
"830606","18-167"
"830607","18-168"
"841042","18-17/18"
"830608","18-177"
"830609","18-179"
"830610","18-183"
"830611","18-188"
"830612","18-189"
"841043","18-19/20"
"830613","18-190"
"830614","18-191"
"830615","18-193"
"830616","18-196"
"830617","18-198"
"830618","18-199"
"841044","18-21/22"
"841045","18-23/24"
"841046","18-25/26"
"841047","18-25/26"
"841048","18-29/30"
"841049","18-31/32"
"841050","18-33/34"
"841051","18-35/36"
"841052","18-37/38"
"841054","18-37/38"
"841053","18-39/40"
"841055","18-44"
"841056","18-48"
"841057","18-50"
"841058","18-52"
"841059","18-56"
"841060","18-58"
"841061","18-60"
"841062","18-62"
"841063","18-64"
"841064","18-66"
"841065","18-68"
"841066","18-70"
"841067","18-72"
"841068","18-74"
"841038","18-9"
"108680","18."
"24436","18.10-9.2"
"24435","18.11-9.2"
"24459","18.12-9.2"
"24460","18.13-9.2"
"24452","18.14-9.2"
"24455","18.15-9.2"
"24450","18.16-9.2"
"24457","18.17-9.2"
"24458","18.18-9.2"
"24453","18.19-9.2"
"24454","18.20-9.2"
"24340","18.23-8.1"
"24461","18.23-9.2"
"24104","18.24-1.9"
"23065","18.25-3.3"
"23066","18.26-3.3"
"24341","18.26-8.1"
"23095","18.27-3.3"
"24079","18.28-1.4"
"24121","18.30-6.8"
"24434","18.5-9.2"
"24432","18.6-9.2"
"24433","18.8-9.2"
"108811","180"
"108812","180  NEG. 02220 A"
"160801","18028"
"108813","181"
"108814","182"
"6052","182.229"
"6054","182.922"
"108815","183"
"161193","18320"
"161363","18329"
"161362","18330"
"161397","18337"
"108816","184 NEG. 02431 A"
"162253","1846"
"108817","185 NEG. 02324 A"
"108818","187 NEG. 02432 A"
"108820","188"
"165073","188 120"
"108819","188 NEG. 02430 A"
"99277","1887"
"108821","189  NEG. 02429 A"
"162208","19, 5"
"161406","19, 8"
"830619","19-201"
"830620","19-202"
"830621","19-203"
"830622","19-204"
"830623","19-205"
"830624","19-208"
"830625","19-209"
"830626","19-210"
"830627","19-213"
"830628","19-214"
"830629","19-217"
"830630","19-218"
"841069","19-26"
"841070","19-32"
"24377","19.0-8.9"
"24383","19.1-8.9"
"24407","19.10-8.9"
"24406","19.13-8.11"
"23391","19.15-7.4"
"24425","19.16-8.9"
"24424","19.17-8.9"
"23394","19.19-7.4"
"24388","19.2-8.9"
"23389","19.20-7.4"
"23390","19.21-7.4"
"23383","19.22-7.4"
"23406","19.24-7.5"
"23407","19.25-7.5"
"23417","19.26-7.5"
"23416","19.27-7.5"
"23413","19.28-7.5"
"24387","19.3-8.9"
"23426","19.30-7.4"
"23384","19.31-7.4"
"23385","19.32-7.4"
"23386","19.33-7.4"
"23387","19.34-7.4"
"23388","19.34-7.4"
"23397","19.5-7.4"
"24404","19.8-8.11"
"108822","190  NEG. 02328 A"
"160712","19028"
"160711","19029"
"161285","19061"
"161364","19072"
"160764","19156"
"161446","19158"
"161209","19194"
"108824","192"
"108823","192  NEG. 02325 A"
"129819","19208"
"129820","19209"
"161391","19209"
"129822","19210"
"129821","19211"
"129818","19212"
"161390","19212"
"129817","19213"
"161392","19213"
"161393","19215"
"161388","19287"
"161274","19290"
"161953","19295"
"161246","19296"
"108825","193"
"160805","19361"
"161356","19373"
"160979","1941"
"160772","19411"
"161347","19412"
"108826","195  NEG. 03510"
"108827","196  NEG. 03512"
"501086","1963.10"
"501083","1963.11"
"501082","1963.19"
"501078","1963.23"
"501079","1963.23"
"501085","1963.9"
"404913","1964/57"
"404915","1965/1"
"404916","1965/2"
"501106","1965/261"
"501097","1965/263"
"501098","1965/264"
"404914","1965/3"
"501096","1965/72"
"501095","1965/74"
"108838","197"
"108828","197  NEG. 03613"
"94177","1975-029"
"94175","1975-030"
"94178","1975-034"
"94174","1975-046"
"94176","1975-069"
"94173","1975-089"
"92049","1975..25"
"5499","1975.018"
"87995","1975.019"
"87996","1975.020"
"87997","1975.021"
"87998","1975.022"
"87999","1975.023"
"92050","1975.24"
"600202","1976 - 4829"
"600203","1976 - 4830"
"600204","1976 - 4831"
"600205","1976 - 4832"
"600206","1976 - 4833"
"600207","1976 - 4834"
"600208","1976 - 4835"
"600209","1976 - 4836"
"600210","1976 - 4837"
"600211","1976 - 4838"
"600212","1976 - 4839"
"600213","1976 - 4840"
"92258","1976.003"
"92011","1978.006"
"92002","1978.112"
"92001","1978.113"
"92052","1978.117"
"92137","1978.120"
"92138","1978.121"
"92139","1978.122"
"92140","1978.123"
"92141","1978.124"
"92003","1978.127"
"92004","1978.128"
"92006","1978.129"
"92007","1978.132"
"92005","1978.136"
"92013","1978.141"
"92012","1978.142"
"92014","1978.144"
"92008","1978.145"
"92009","1978.146"
"92047","1978.147"
"92023","1978.151"
"92010","1978.152"
"92029","1978.154"
"92022","1978.155"
"92020","1978.156"
"92015","1978.157"
"92017","1978.158"
"92018","1978.159"
"92016","1978.160"
"92021","1978.161"
"92019","1978.162"
"92024","1978.164"
"92025","1978.165"
"92056","1978.166"
"92026","1978.174"
