Catalogusnummer,oudnummer_1,oudnummer_2,oudnummer_3
"67704","T.A. Oudegracht 320 (Smeebrug-Geertebrug) c. 1904 (2)",,
"60244","T.A. Keulsekade 143 1969 (2)",,
"56439","T.A. Eendrachtlaan 200 1992 (1)",,
"59358","T.A. Janskerkhof 12 1983 (4)",,
"70239","T.A. Slachtstraat 2 1974",,
"67113","T.A. Oudegracht  158   (Bakkerbrug-Stadhuisbrug)    c. 1970  (2)",,
"62664","T.A. Lucasbolwerk 1970 (2)",,
"89738","Doos 02 nr. 64",,
"5669","T.A. 1313-2",,
"73773","T.A. Wilhelminapark 57 1973",,
"61270","T.A. Kroonstraat 25 1985 (1)",,
"65517","T.A. Laan van Nieuw Guinea 139 1989 (1)",,
"55114","T.A. Catharijnesingel 101 1981 (1.14)",,
"6431","1979.093",,
"52994","T.A. Willem Barentzstraat 33-37 1974 (1)",,
"72744","T.A. Voorstraat 28 1989 (1)",,
"81075","T.A. Kd 5.2.1",,
"42351","D.O.W. 196 Y",,
"91357","Doos 67, nr. 57",,
"65805","T.A. Alexander Numankade 91-93 1982 (2)",,
"58179","T.A. Hennepstraat 1 1990 (1)",,
"59389","T.A. Janskerkhof 13 1990 (1)",,
"54653","T.A. Brouwerstraat 1970 (1)",,
"43935","D.O.W. 461 E",,
"67228","T.A. Oudegracht 184-lager (Stadhuisbrug - Gaardbrug) c. 1925",,
"61696","T.A. Lange Nieuwstraat 55-61 1978 (1)",,
"41529","D.O.W. 137 Ao",,
"24220","17.8-6.2",,
"89625","Doos 41, nr.23",,
"76687","T.A. V 6.15.1.2.2",,
"78686","T.A. Sa 3.30 (G)",,
"80013","T.A. Nd 11 (c)",,
"85614","Verzameling 174",,
"54075","T.A. Boisotstraat 25 1988 (5)",,
"43871","D.O.W. 520 A",,
"63486","T.A.  Prinses Margrietstraat   126    1986  (1)",,
"86196","Verzameling 131 (15)",,
"57883","T.A. Havenweg 7 1964 (2)",,
"58612","T.A. Hoogt 4-6-6A 1989 (1)",,
"65887","T.A. Alexander Numankade 199 1984 (19)",,
"76883","T.A. W 2.35.1",,
"70132","T.A. Servaasbolwerk 6 1989 (1)",,
"75571","T.A. T 5.16",,
"87281","Verzameling 172 (419)",,
"61749","T.A. Lange Nieuwstraat 99 1989 (1)",,
"76216","T.A. U 2.135 (A)",,
"88247","Doos 57, nr. 25",,
"23471","12.26-5.8",,
"70672","T.A. Springweg 162 1981 (8)",,
"93647","Prov. Utr. Welstands Cie Mon lijst Lopik 36",,
"45226","D.O.W. 681 F",,
"89449","Doos 33 nr. 53",,
"76962","T.A. X 3.1.16",,
"92726","T.A. 2480",,
"67723","T.A. Oudegracht 334 (Smeebrug-Geertebrug) 1987 (1)",,
"88466","Doos 66, nr.09",,
"88774","Doos 52, nr. 01",,
"57840","T.A. Harpstraat 31-lager 1991 (1)",,
"65040","T.A.  Nieuwegracht  41 - hoger   (Paulusbrug-Brigittenbrug)   1978  (1)",,
"69016","T.A  Poortstraat  49  1994 (2)",,
"68573","T.A. Pausdam 3 1991 (1)",,
"80443","T.A. Nb 44.1",,
"68874","T.A. Plompetorengracht 21 1991 (1)",,
"63101","T.A. Maliebaan 10 1938 (1)",,
"73214","T.A. J. D. van der Waalsstraat 26-lager 1991 (1)",,
"57849","T.A. Havenweg 7 c. 1917 (1)",,
"66392","T.A. Oudegracht 8-20 (Zandbrug-Jacobibrug) 1973",,
"89442","Doos 39 nr. 45",,
"83056","T.A. Hd 188  (4)",,
